#Code,Azimuth,Elevation,Calibration
55784,55.02,60.24,1
55787,56.63,58.84,1
55790,58.1,57.42,1
55793,59.43,55.98,1
55796,60.65,54.51,1
55799,61.76,53.02,1
55802,-62.52,53.32,1
55805,-61.42,54.81,1
55808,-60.22,56.29,1
55811,-58.91,57.74,1
55814,-57.47,59.17,1
55817,-55.88,60.57,1
55820,-54.12,61.95,1
55823,-52.18,63.29,1
55826,-50.03,64.59,1
55829,-47.65,65.85,1
55832,-45,67.06,1
55835,-42.06,68.21,1
55838,-38.79,69.29,1
55841,-35.17,70.29,1
55844,-31.18,71.21,1
55847,-26.79,72.01,1
55850,-22.02,72.7,1
55853,-16.89,73.26,1
55856,-11.45,73.67,1
55859,-5.78,73.92,1
55862,0,74,1
55865,5.78,73.92,1
55868,11.45,73.67,1
55871,16.89,73.26,1
55874,22.02,72.7,1
55877,26.79,72.01,1
55880,31.18,71.21,1
55883,35.17,70.29,1
55886,38.79,69.29,1
55889,42.06,68.21,1
55892,45,67.06,1
55895,47.65,65.85,1
55898,50.03,64.59,1
55901,52.18,63.29,1
55904,54.12,61.95,1
55907,55.88,60.57,1
55910,57.47,59.17,1
55913,58.91,57.74,1
55916,60.22,56.29,1
55919,61.42,54.81,1
55922,62.52,53.32,1
55925,-63.29,53.61,1
55928,-62.21,55.11,1
55931,-61.03,56.59,1
55934,-59.74,58.05,1
55937,-58.32,59.49,1
55940,-56.75,60.9,1
55943,-55.02,62.28,1
55946,-53.09,63.63,1
55949,-50.96,64.95,1
55952,-48.59,66.22,1
55955,-45.95,67.45,1
55958,-43,68.61,1
55961,-39.72,69.71,1
55964,-36.07,70.74,1
55967,-32.02,71.67,1
55970,-27.56,72.49,1
55973,-22.68,73.2,1
55976,-17.42,73.77,1
55979,-11.82,74.19,1
55982,-5.98,74.45,1
55985,0,74.53,1
55988,5.98,74.45,1
55991,11.82,74.19,1
55994,17.42,73.77,1
55997,22.68,73.2,1
56000,27.56,72.49,1
56003,32.02,71.67,1
56006,36.07,70.74,1
56009,39.72,69.71,1
56012,43,68.61,1
56015,45.95,67.45,1
56018,48.59,66.22,1
56021,50.96,64.95,1
56024,53.09,63.63,1
56027,55.02,62.28,1
56030,56.75,60.9,1
56033,58.32,59.49,1
56036,59.74,58.05,1
56039,61.03,56.59,1
56042,62.21,55.11,1
56045,63.29,53.61,1
56048,-64.07,53.9,1
56051,-63.01,55.4,1
56054,-61.86,56.88,1
56057,-60.59,58.35,1
56060,-59.19,59.8,1
56063,-57.64,61.22,1
56066,-55.93,62.61,1
56069,-54.03,63.98,1
56072,-51.92,65.3,1
56075,-49.56,66.59,1
56078,-46.93,67.83,1
56081,-43.98,69.01,1
56084,-40.69,70.13,1
56087,-37.01,71.17,1
56090,-32.91,72.12,1
56093,-28.37,72.97,1
56096,-23.39,73.69,1
56099,-17.99,74.28,1
56102,-12.22,74.71,1
56105,-6.18,74.98,1
56108,0,75.07,1
56111,6.18,74.98,1
56114,12.22,74.71,1
56117,17.99,74.28,1
56120,23.39,73.69,1
56123,28.37,72.97,1
56126,32.91,72.12,1
56129,37.01,71.17,1
56132,40.69,70.13,1
56135,43.98,69.01,1
56138,46.93,67.83,1
56141,49.56,66.59,1
56144,51.92,65.3,1
56147,54.03,63.98,1
56150,55.93,62.61,1
56153,57.64,61.22,1
56156,59.19,59.8,1
56159,60.59,58.35,1
56162,61.86,56.88,1
56165,63.01,55.4,1
56168,64.07,53.9,1
56171,-64.86,54.17,1
56174,-63.83,55.68,1
56177,-62.7,57.17,1
56180,-61.45,58.64,1
56183,-60.08,60.1,1
56186,-58.56,61.53,1
56189,-56.87,62.93,1
56192,-55,64.31,1
56195,-52.9,65.65,1
56198,-50.56,66.95,1
56201,-47.94,68.21,1
56204,-45,69.41,1
56207,-41.7,70.55,1
56210,-37.99,71.61,1
56213,-33.85,72.58,1
56216,-29.23,73.44,1
56219,-24.14,74.19,1
56222,-18.6,74.79,1
56225,-12.65,75.23,1
56228,-6.41,75.51,1
56231,0,75.6,1
56234,6.41,75.51,1
56237,12.65,75.23,1
56240,18.6,74.79,1
56243,24.14,74.19,1
56246,29.23,73.44,1
56249,33.85,72.58,1
